time,q,dq,tau,qd
4.240000000000003211e-01,1.092497203575057280e-01,-5.518533971841997898e-01,8.967672634673817811e-02,0.000000000000000000e+00
4.260000000000003229e-01,1.081570626258316764e-01,-5.463288658370286655e-01,8.869684332592520093e-02,0.000000000000000000e+00
4.280000000000003246e-01,1.070753430475650109e-01,-5.408597891333337682e-01,8.772918232813964323e-02,0.000000000000000000e+00
4.300000000000003264e-01,1.060044518351451887e-01,-5.354456062099125502e-01,8.677355254698504439e-02,0.000000000000000000e+00
4.320000000000003282e-01,1.049442803111724359e-01,-5.300857619863748038e-01,8.582976688820131983e-02,0.000000000000000000e+00
4.340000000000003300e-01,1.038947208969659280e-01,-5.247797071032567207e-01,8.489764189483395285e-02,0.000000000000000000e+00
4.360000000000003317e-01,1.028556671012443302e-01,-5.195268978607961996e-01,8.397699767319188879e-02,0.000000000000000000e+00
4.380000000000003335e-01,1.018270135089276024e-01,-5.143267961583671832e-01,8.306765781966696238e-02,0.000000000000000000e+00
4.400000000000003353e-01,1.008086557700584585e-01,-5.091788694345700250e-01,8.216944934844327975e-02,0.000000000000000000e+00
4.420000000000003371e-01,9.980049058884250812e-02,-5.040825906079737795e-01,8.128220262018004405e-02,0.000000000000000000e+00
4.440000000000003388e-01,9.880241571280548585e-02,-4.990374380185083059e-01,8.040575127169447001e-02,0.000000000000000000e+00
4.460000000000003406e-01,9.781432992206648414e-02,-4.940428953694997460e-01,7.953993214667676170e-02,0.000000000000000000e+00
4.480000000000003424e-01,9.683613301872578960e-02,-4.890984516703467677e-01,7.868458522748511541e-02,0.000000000000000000e+00
